cus_name,current_mem_id,prev_mem_id,last_updated_at,registration_date
Nguyễn Mai,1,1,2025-07-15,2025-04-08
Hoàng Trần,4,3,2023-11-19,2023-09-10
Nguyễn Mai,3,2,2025-05-22,2024-12-31
Phạm Thế Mai,5,4,2024-08-24,2024-07-06
Đặng Hải Phạm,1,1,2025-09-18,2025-08-22
Nguyễn Lê,1,1,2025-07-04,2025-06-24
Vũ Hoàng,5,4,2025-06-14,2024-03-15
Hoàng Vũ,5,4,2025-06-12,2025-06-03
Mai Quang Đặng,7,6,2024-12-30,2024-12-06
Dương Quang Bùi,6,5,2025-10-23,2025-10-23
Trần Vũ,5,4,2024-10-26,2023-03-01
Mai Hoàng,1,1,2025-05-22,2025-02-10
Trần Hoàng,1,1,2025-07-01,2025-06-15
Mai Nhật Hoàng,4,3,2024-02-03,2024-01-17
Trần ông Trung Vũ,3,2,2025-02-03,2024-09-19
Vũ Dũng Mai,3,2,2025-02-07,2024-07-10
Phạm Nguyễn,3,2,2025-07-21,2025-03-06
Nguyễn Vũ Hoàng,6,5,2025-09-30,2024-06-10
Trần Khoa Lê,5,4,2023-04-09,2023-02-28
Trần Hoàng,1,1,2025-09-27,2025-07-28
Dương Lê,6,5,2023-09-28,2021-10-18
Hoàng Dương,6,5,2025-02-23,2024-10-10
Hoàng Mai,2,1,2025-01-10,2023-12-12
Bùi Lê,1,1,2025-10-05,2025-09-27
Mai Hoàng,5,4,2025-06-14,2025-02-09
Trần Phạm,1,1,2025-09-14,2025-08-23
Nguyễn Phạm,7,6,2024-04-08,2023-11-05
Bùi cô Chi Trần,3,2,2024-06-22,2024-04-22
Đặng Mai Bảo Vũ,1,1,2025-10-05,2025-09-07
Bùi Thế Vũ,2,1,2025-09-26,2024-01-06
Hoàng Vũ,7,6,2025-07-05,2024-10-14
Dương Minh Lê,1,1,2025-04-16,2025-02-16
Trần Lê,5,4,2025-09-10,2025-08-30
Vũ Bùi,1,1,2024-11-09,2024-10-15
Dương Hải Phạm,7,6,2025-06-04,2022-11-26
Dương Thế Trần,7,6,2025-04-09,2025-03-07
Mai Bùi,6,5,2023-08-16,2022-11-09
Trần Vi Đặng,3,2,2025-06-03,2024-05-31
Vũ Dương,3,2,2024-09-19,2024-07-18
Vũ Phạm,6,5,2025-03-17,2025-01-18
Lê Thế Nguyễn,5,4,2023-11-27,2023-09-07
Lê Bùi,1,1,2025-09-01,2025-08-21
Đặng Phạm,2,1,2025-07-25,2025-03-10
Phạm Nguyễn,4,3,2022-11-23,2022-11-02
Bùi Mai,7,6,2025-03-27,2023-09-08
Trần Mai,7,6,2024-07-05,2021-08-23
Trần Hoàng,7,6,2025-10-08,2025-10-08
Mai Dương,7,6,2024-09-24,2023-09-25
Hoàng Thành Bùi,7,6,2025-09-22,2024-09-16
Phạm Lê,3,2,2023-10-17,2023-10-14
Mai Nguyễn,4,3,2025-07-25,2025-05-13
Mai Nguyễn,7,6,2025-07-02,2024-03-04
Phạm Hương Trần,2,1,2025-08-11,2024-11-19
Phạm Vũ,7,6,2023-07-18,2021-11-16
Đặng Đặng,7,6,2023-05-02,2022-12-10
Hoàng Phạm,5,4,2024-02-14,2023-03-12
